Energy (GeV),Photons,N_e+,N_e-,N_mu+,N_mu-,N_pi0,N_pi+,N_pi-,N_n,N_p,N_pbar,N_others,Total_per_bin
4.47E-05,325,0,0,0,0,0,0,0,0,0,0,0,325
5.01E-05,17660,0,0,0,0,0,0,0,0,0,0,0,17660
5.62E-05,20981,0,0,0,0,0,0,0,0,0,0,0,20981
6.31E-05,24016,0,0,0,0,0,0,0,0,0,0,0,24016
7.08E-05,27137,0,0,0,0,0,0,0,0,0,0,0,27137
7.94E-05,29996,0,0,0,0,0,0,0,0,0,0,0,29996
8.91E-05,32737,0,0,0,0,0,0,0,0,0,0,0,32737
1.E-04,35368,0,0,0,0,0,0,0,0,0,0,0,35368
1.12E-04,37755,0,0,0,0,0,0,0,0,0,0,0,37755
1.26E-04,40372,0,0,0,0,0,0,0,0,0,0,0,40372
1.41E-04,43348,0,0,0,0,0,0,0,0,0,0,0,43348
1.58E-04,45770,0,0,0,0,0,0,0,0,0,0,0,45770
1.78E-04,49085,0,0,0,0,0,0,0,0,0,0,0,49085
2.E-04,51245,0,0,0,0,0,0,0,0,0,0,0,51245
2.24E-04,54003,0,196,0,0,0,0,0,0,0,0,0,54199
2.51E-04,55820,3,415,0,0,0,0,0,0,0,0,0,56238
2.82E-04,57811,0,493,0,0,0,0,0,0,0,0,0,58304
3.16E-04,59427,5,623,0,0,0,0,0,0,0,0,0,60055
3.55E-04,61608,6,728,0,0,0,0,0,0,0,0,0,62342
3.98E-04,63866,13,909,0,0,0,0,0,0,0,0,0,64788
4.47E-04,65132,19,1048,0,0,0,0,0,0,0,0,0,66199
5.01E-04,70556,30,1264,0,0,0,0,0,0,0,0,0,71850
5.62E-04,67273,44,1458,0,0,0,0,0,0,0,0,0,68775
6.31E-04,68391,55,1727,0,0,0,0,0,0,0,0,0,70173
7.08E-04,70352,82,1974,0,0,0,0,0,0,0,0,0,72408
7.94E-04,71275,95,2298,0,0,0,0,0,0,0,0,0,73668
8.91E-04,72128,170,2586,0,0,0,0,0,0,0,0,0,74884
1.E-03,72655,218,2820,0,0,0,0,0,0,0,0,0,75693
1.12E-03,73196,277,3089,0,0,0,0,0,0,0,0,0,76562
1.26E-03,74101,330,3397,0,0,0,0,0,0,0,0,0,77828
1.41E-03,74805,436,3568,0,0,0,0,0,0,0,0,0,78809
1.58E-03,75976,509,3728,0,0,0,0,0,0,0,0,0,80213
1.78E-03,76418,678,4219,0,0,0,0,0,0,0,0,0,81315
2.E-03,76831,800,4698,0,0,0,0,0,0,0,0,0,82329
2.24E-03,77711,982,5049,0,0,0,0,0,0,0,0,0,83742
2.51E-03,77365,1183,5387,0,0,0,0,0,0,0,0,0,83935
2.82E-03,78869,1343,5703,0,0,0,0,0,0,0,0,0,85915
3.16E-03,79077,1536,6101,0,0,0,0,0,0,0,0,0,86714
3.55E-03,80768,1841,6314,0,0,0,0,0,0,0,0,0,88923
3.98E-03,80884,2005,6590,0,0,0,0,0,0,0,0,0,89479
4.47E-03,80986,2251,6911,0,0,0,0,0,0,0,0,0,90148
5.01E-03,79874,2531,7092,0,0,0,0,0,0,0,0,0,89497
5.62E-03,79078,2849,7162,0,0,0,0,0,0,0,0,0,89089
6.31E-03,79795,2961,7621,0,0,0,0,0,0,0,0,0,90377
7.08E-03,78550,3261,7730,0,0,0,0,0,0,0,0,0,89541
7.94E-03,77672,3606,7872,0,0,0,0,0,0,0,0,0,89150
8.91E-03,77528,3832,7874,0,0,0,0,0,0,0,0,0,89234
1.E-02,75447,4066,7888,0,0,0,0,0,0,0,0,0,87401
1.12E-02,73345,4310,8051,0,0,0,0,0,0,0,0,0,85706
1.26E-02,72396,4571,8218,0,0,0,0,0,0,0,0,0,85185
1.41E-02,70087,4775,8254,0,0,0,0,0,0,0,0,0,83116
1.58E-02,68099,5058,8158,0,0,0,0,0,0,0,0,0,81315
1.78E-02,65531,5246,7812,0,0,0,0,0,0,0,0,0,78589
2.E-02,62485,5352,7873,0,0,0,0,0,0,0,0,0,75710
2.24E-02,59508,5547,7890,0,0,0,0,0,0,0,0,0,72945
2.51E-02,55790,5754,7856,0,0,0,0,0,0,0,0,0,69400
2.82E-02,52561,5932,7811,0,0,0,0,0,0,0,0,0,66304
3.16E-02,49664,5958,7611,0,0,0,0,0,0,0,0,0,63233
3.55E-02,46293,6038,7395,0,0,0,0,0,0,0,0,0,59726
3.98E-02,42680,5876,7145,0,0,0,0,0,0,0,0,0,55701
4.47E-02,39858,6097,7146,0,0,0,0,0,0,0,0,0,53101
5.01E-02,35424,6144,7101,0,0,0,0,0,0,0,0,0,48669
5.62E-02,33035,6284,6818,0,0,0,0,0,0,0,0,0,46137
6.31E-02,30276,6059,6765,0,0,0,0,0,0,0,0,0,43100
7.08E-02,27813,6173,6450,0,0,0,0,0,0,0,0,0,40436
7.94E-02,25003,6168,6416,0,0,0,0,0,0,0,0,0,37587
8.91E-02,22961,6199,6377,0,0,0,0,0,0,0,0,0,35537
1.E-01,20603,6199,6062,0,0,0,0,0,0,0,0,0,32864
1.12E-01,18748,6217,6053,190,196,0,0,0,0,0,0,0,31404
1.26E-01,16916,6155,5878,255,261,0,0,2,0,0,0,0,29467
1.41E-01,15057,6198,5821,357,363,0,1,3,0,0,0,0,27800
1.58E-01,13598,5934,5642,423,478,0,2,3,0,0,0,0,26080
1.78E-01,12304,5889,5442,616,649,0,4,3,0,0,0,0,24907
2.E-01,10885,5996,5423,929,947,0,1,6,0,0,0,0,24187
2.24E-01,9658,5865,5136,1688,1509,0,4,4,0,0,0,0,23864
2.51E-01,8318,5528,5003,2122,1917,0,9,6,0,0,0,0,22903
2.82E-01,7592,5565,4844,2580,2377,0,8,9,3458,270,0,0,26703
3.16E-01,6617,5373,4735,3048,2783,0,11,14,23646,1910,0,0,48137
3.55E-01,5856,5139,4273,3550,3391,0,8,9,25465,2180,0,0,49871
3.98E-01,5235,4955,4217,4398,3904,0,16,17,25312,2429,0,0,50483
4.47E-01,4417,4846,3979,5121,4539,0,7,11,25272,2632,0,0,50824
5.01E-01,3912,4536,3749,5877,5187,0,10,12,25084,2747,0,0,51114
5.62E-01,3188,4128,3483,6653,5980,0,15,13,23008,2895,0,0,49363
6.31E-01,2740,3969,3212,7626,6601,0,12,11,19502,2787,1,0,46461
7.08E-01,2343,3584,2915,8691,7568,0,8,11,15249,2663,0,1,43033
7.94E-01,1856,3420,2789,9720,8293,0,7,11,11877,2475,0,0,40448
8.91E-01,1582,3057,2506,10775,8983,0,12,10,8952,2353,1,0,38231
1.E+00,1299,2775,2167,11817,9888,0,7,14,6718,2076,0,0,36761
1.12E+00,1091,2435,1980,12820,10841,0,10,3,5394,1877,0,0,36451
1.26E+00,910,2079,1653,13863,11468,0,9,13,4299,1584,0,0,35878
1.41E+00,747,1828,1453,14929,12435,0,10,13,3381,1398,1,1,36196
1.58E+00,572,1494,1184,15761,12933,0,8,10,2611,1236,0,3,35812
1.78E+00,421,1222,965,16477,13621,0,8,9,2081,980,0,2,35786
2.E+00,323,1058,855,17160,14090,0,7,7,1511,858,0,2,35871
2.24E+00,274,825,660,17812,14365,0,5,9,1198,695,1,2,35846
2.51E+00,221,658,553,18330,14629,0,5,10,912,577,0,1,35896
2.82E+00,168,536,400,18166,14666,0,3,4,708,504,0,3,35158
3.16E+00,133,440,314,18000,14768,0,2,3,562,379,0,1,34602
3.55E+00,97,324,229,18162,14599,0,3,3,412,324,1,3,34157
3.98E+00,68,232,172,17528,14179,0,3,2,311,250,0,1,32746
4.47E+00,61,150,127,16803,13812,0,4,1,262,208,0,0,31428
5.01E+00,47,119,77,16107,12892,0,2,5,207,152,1,2,29611
5.62E+00,31,79,57,14824,12044,0,3,6,145,111,0,2,27302
6.31E+00,23,60,38,14165,11238,0,1,2,110,99,0,1,25737
7.08E+00,21,38,25,12618,10423,0,6,2,71,67,1,1,23273
7.94E+00,18,28,20,11401,9560,0,4,5,45,46,0,1,21128
8.91E+00,10,17,15,10531,8413,0,3,2,37,42,1,1,19072
1.E+01,14,7,9,9174,7682,0,4,3,29,22,0,1,16945
1.12E+01,11,16,6,7988,6613,0,4,2,19,28,0,0,14687
1.26E+01,10,8,3,7058,5762,0,2,2,15,18,0,2,12880
1.41E+01,4,3,2,6124,5038,0,1,1,15,14,0,1,11203
1.58E+01,5,2,4,5184,4142,0,0,3,14,9,1,0,9364
1.78E+01,1,1,2,4496,3598,0,0,0,11,14,0,0,8123
2.E+01,2,0,3,3691,3029,0,3,2,7,7,0,3,6747
2.24E+01,1,0,1,3013,2552,0,0,3,7,11,0,2,5590
2.51E+01,0,2,0,2557,2100,0,1,0,6,9,1,0,4676
2.82E+01,0,1,1,2024,1748,0,1,0,1,4,0,0,3780
3.16E+01,0,0,0,1723,1483,0,0,0,2,1,0,0,3209
3.55E+01,0,0,0,1382,1153,0,0,1,5,3,0,0,2544
3.98E+01,0,1,0,1197,1013,0,1,0,4,3,0,0,2219
4.47E+01,0,0,0,883,743,0,2,3,2,5,0,0,1638
5.01E+01,0,0,0,763,612,0,0,0,1,1,0,0,1377
5.62E+01,1,0,1,577,529,0,1,1,0,2,0,0,1112
6.31E+01,0,0,0,475,414,0,0,0,1,0,0,0,890
7.08E+01,0,0,0,372,317,0,0,1,1,0,1,0,692
7.94E+01,0,0,0,291,264,0,0,0,2,1,0,0,558
8.91E+01,0,0,0,242,194,0,0,0,1,3,0,0,440
1.E+02,0,0,0,182,152,0,0,0,0,1,0,0,335
1.12E+02,0,0,0,132,117,0,1,0,1,2,0,0,253
1.26E+02,0,0,0,119,85,0,0,0,0,1,0,0,205
1.41E+02,0,0,0,94,86,0,0,0,0,0,0,0,180
1.58E+02,0,0,0,59,63,0,0,0,0,0,0,0,122
1.78E+02,0,0,0,53,40,0,0,1,0,0,0,0,94
2.E+02,0,0,0,35,32,0,0,1,0,0,0,0,68
2.24E+02,0,0,0,27,15,0,0,0,0,1,0,0,43
2.51E+02,0,0,0,21,18,0,0,0,0,0,0,0,39
2.82E+02,0,0,0,16,18,0,0,0,0,0,0,0,34
3.16E+02,0,0,0,15,10,0,0,0,1,0,0,0,26
3.55E+02,0,0,0,7,10,0,0,0,0,0,0,0,17
3.98E+02,0,0,0,9,8,0,0,0,0,0,0,0,17
4.47E+02,0,0,0,7,9,0,0,0,0,0,0,0,16
5.01E+02,0,0,0,6,4,0,0,0,0,0,0,0,10
5.62E+02,0,0,0,2,2,0,0,0,0,0,0,0,4
6.31E+02,0,0,0,1,0,0,0,0,0,0,0,0,1
7.08E+02,0,0,0,4,1,0,0,0,0,0,0,0,5
7.94E+02,0,0,0,1,3,0,0,0,0,0,0,0,4
8.91E+02,0,0,0,3,0,0,0,0,0,0,0,0,3
1.E+03,0,0,0,0,0,0,0,0,0,0,0,0,0
1.12E+03,0,0,0,0,0,0,0,0,0,0,0,0,0
1.26E+03,0,0,0,0,0,0,0,0,0,0,0,0,0
1.41E+03,0,0,0,1,0,0,0,0,0,0,0,0,1
